234.246,409.0
234.369,413.0
234.491,421.0
234.614,404.0
234.737,414.0
234.86,409.0
234.983,397.0
235.106,412.0
235.228,400.0
235.351,395.0
235.474,419.0
235.597,392.0
235.72,412.0
235.843,385.0
235.966,403.0
236.088,379.0
236.211,306.0
236.334,252.0
236.457,187.0
236.58,182.0
236.703,163.0
236.826,185.0
236.948,177.0
237.071,183.0
237.194,163.0
237.317,165.0
237.44,172.0
237.563,180.0
237.685,164.0
237.808,173.0
237.931,171.0
238.054,161.0
238.177,174.0
238.3,179.0
238.423,169.0
238.545,161.0
238.668,164.0
238.791,185.0
238.914,180.0
239.037,163.0
239.16,175.0
239.283,168.0
239.405,170.0
239.528,167.0
239.651,164.0
239.774,183.0
239.897,186.0
